,Unnamed: 0,keywords,code
141,141,General Educational Development Instruction,B6
142,142,High School Equivalency,B6
143,143,Institutes for Learning in Retirement,B6
144,144,Lifelong Learning,B6
145,145,Lifetime Learning,B6
146,146,Academic Libraries,B7
147,147,Academic Research Libraries,B7
148,148,Archival Work,B7
149,149,Archives,B7
150,150,Archivists,B7
151,151,Book and Paper Conservation,B7
152,152,Book Collections,B7
153,153,College Libraries,B7
154,154,College Research Libraries,B7
155,155,Corporate Libraries,B7
156,156,Depository Libraries,B7
157,157,Electronic Libraries,B7
158,158,Information Centers,B7
159,159,Law Libraries,B7
160,160,Law School Libraries,B7
161,161,Legal Libraries,B7
162,162,Libraries,B7
163,163,Library Operation/Programs,B7
164,164,Media Centers,B7
165,165,Medical Association Libraries,B7
166,166,Medical Libraries,B7
167,167,Medical Society Libraries,B7
168,168,Military Base Libraries,B7
169,169,Municipal Libraries,B7
170,170,National Libraries,B7
171,171,Online Vendor Services,B7
172,172,Presidential Libraries,B7
173,173,Public Libraries,B7
174,174,Reference Services,B7
175,175,Religious Libraries,B7
176,176,Research Libraries,B7
177,177,School Libraries,B7
178,178,School Library Media Centers,B7
179,179,Special Libraries,B7
180,180,State Libraries,B7
181,181,University Libraries,B7
182,182,University Research Libraries,B7
183,183,Virtual Libraries,B7
184,184,Achievement Testing,B9
185,185,Advanced Placement Testing,B9
186,186,Afterschool Programs,B9
187,187,After-School Enrichment Programs,B9
188,188,After-School Programs,B9
189,189,After School Programs,B9
190,190,American College Test,B9
191,191,Aptitude Testing,B9
192,192,Business in Schools Programs,B9
193,193,Cooperative/Community Education,B9
194,194,College Credit by Examination,B9
195,195,College Entrance Examinations,B9
196,196,College Placement Testing,B9
197,197,College Preparatory Examinations,B9
198,198,Continuation High Schools,B9
199,199,Dental Admission Test,B9
200,200,Distance Education,B9
201,201,Distance Learning,B9
202,202,Drop Out Prevention,B9
203,203,Drop-Out Prevention/Retention Services,B9
204,204,Dropout Prevention,B9
205,205,Educational Testing,B9
206,206,Entrance Examinations,B9
207,207,Equivalency Tests,B9
208,208,Extra-School Settings,B9
209,209,Graduate Management Admission Testing,B9
210,210,Graduate Program Examinations,B9
211,211,Graduate Record Examinations,B9
212,212,Grammar Hotlines,B9
213,213,High School Competency Testing,B9
214,214,Homework Assistance,B9
215,215,Homework Help,B9
216,216,Homework Hotlines,B9
217,217,Intelligence Testing,B9
218,218,Law School Admission Testing,B9
219,219,Medical College Admission Testing,B9
220,220,Optometry Admission Testing,B9
221,221,Out-of-School Hours Programs,B9
222,222,Preliminary Scholastic Achievement Testing,B9
223,223,Private School Placement,B9
224,224,"Public, Private Partnerships for Education",B9
225,225,Return to Education Support,B9
226,226,Scholastic Aptitude Testing,B9
227,227,Scholastic Assessment Testing,B9
228,228,Special Education Assessment,B9
229,229,Student Retention,B9
230,230,Student Testing,B9
231,231,Study Skills Assistance,B9
232,232,Subject-Specific Tutoring,B9
233,233,Truancy Counseling,B9
234,234,Tutoring,B9
235,235,Century Community Learning Centers Initiative Programs,B9
236,236,Children Literacy,B9
237,237,Reading Encouragement,B9
238,238,Reading is Fundamental,B9
239,239,Remedial Reading,B9
240,240,Remedial Spelling,B9
241,241,RIF,B9
242,242,Congress of Parents & Teachers,B9
243,243,Congress of Parents and Teachers,B9
244,244,Parent Teacher and Students,B9
245,245,Parent Teacher Associations,B9
246,246,Parent Teacher Organizations,B9
247,247,PTA,B9
248,248,PTO,B9
249,249,PTSA,B9
250,250,PTSO,B9
251,251,Faculty Groups,B9
252,252,Acid Rain,C2
253,253,Air Pollution,C2
254,254,Asbestos Removal,C2
255,255,Asbestos Testing,C2
256,256,Atmospheric Contamination,C2
257,257,Carbon Monoxide Testing,C2
258,258,Clean Air,C2
259,259,Climatic Change,C2
260,260,Drinking Water Testing,C2
261,261,Environmental Hazards Cleanup,C2
262,262,Environmental Hazards Control,C2
263,263,Environmental Pollution,C2
264,264,Environmental Sanitation,C2
265,265,Global Warming,C2
266,266,Greenhouse Effect,C2
267,267,Greenhouse Gases,C2
268,268,Hazardous Materials Cleanup,C2
269,269,Hazardous Materials Control,C2
270,270,Hazardous Materials Monitoring,C2
271,271,Hazardous Materials Transportation,C2
272,272,Hazardous Wastes,C2
273,273,Household Hazardous Wastes,C2
274,274,Indoor Air Pollution,C2
275,275,Industrial Hazardous Wastes,C2
276,276,Landfills,C2
277,277,Lead Paint,C2
278,278,Lead Testing,C2
279,279,"Medical Waste Disposal, Noise Pollution",C2
280,280,Nuclear Wastes,C2
281,281,Oil Spill Cleanup,C2
282,282,Pesticides,C2
283,283,Pollution Abatement,C2
284,284,Pollution Control,C2
285,285,Poor Air Quality,C2
286,286,Radiation Control,C2
287,287,Radiation Testing,C2
288,288,Radon Testing,C2
289,289,Rising Sea Levels,C2
290,290,Sanitation,C2
291,291,Sewage,C2
292,292,Sludge Sites,C2
293,293,Smog,C2
294,294,Soil Contaminant Testing,C2
295,295,Soil Testing,C2
296,296,Solid Waste Management,C2
297,297,Tap Water Testing,C2
298,298,Toxic Substances,C2
299,299,Toxic Wastes,C2
300,300,Waste Disposal,C2
301,301,Waste Management,C2
302,302,Waste Spills,C2
303,303,Waste Transport,C2
304,304,Water Pollution,C2
305,305,Water Pollution Control,C2
306,306,Bush Survival,C6
307,307,Ecotourism,C6
308,308,Environmental Education,C6
309,309,Environmental Interpretive Centers,C6
310,310,Nature Centers,C6
311,311,Nature Walks,C6
312,312,Orienteering,C6
313,313,Outdoor Education,C6
314,314,Outdoor Survival,C6
315,315,Outdoor Survival Skills,C6
316,316,Outward Bound,C6
317,317,Wilderness Survival Skills,C6
318,318,Adopt-A-Burro,D2
319,319,Adopt-A-Greyhound,D2
320,320,Adopt-A-Horse,D2
321,321,Adopt-A-Race Horse,D2
322,322,Alligator Control,D2
323,323,Animal Adoption,D2
324,324,Animal Control,D2
325,325,Animal Lost & Found,D2
326,326,Animal Population Control,D2
327,327,Animal Protection ,D2
328,328,Animal Rescue,D2
329,329,Animal Shelters,D2
330,330,Animal Welfare,D2
331,331,ASPCA,D2
332,332,Coyote Control,D2
333,333,Cruelty to Animals,D2
334,334,Deer Control,D2
335,335,Domestic Animal Protection,D2
336,336,Domestic Animal Welfare,D2
337,337,Equine Rescue,D2
338,338,Farm Animal Protection,D2
339,339,Farm Animal Welfare,D2
340,340,Farm Animals Sanctuaries,D2
341,341,Foster Care for Animals,D2
342,342,Found Pets,D2
343,343,Greyhound Adoption,D2
344,344,Greyhound Rescue,D2
345,345,Homeless Animals,D2
346,346,Horse Sanctuaries,D2
347,347,Humane Societies,D2
348,348,Lost Animals,D2
349,349,Lost Pets,D2
350,350,Missing Pets,D2
351,351,Pet Adoption,D2
352,352,Pet Cemeteries,D2
353,353,Pet Reunification,D2
354,354,Predator Control,D2
355,355,Prevention of Cruelty to Animals,D2
356,356,Rabbit Rescue,D2
357,357,Snake Control,D2
358,358,Spaying & Neutering,D2
359,359,SPCA,D2
360,360,Stray Animal Assistance,D2
361,361,Unwanted Animals,D2
362,362,Unwanted Pets,D2
363,363,Community-Based Health Services,E2
364,364,Health Care Systems,E2
365,365,Hospital Management Corporations,E2
366,366,Multihospital Health Care Systems,E2
367,367,Multihospital Systems,E2
368,368,Acute Care Critical Access Hospitals,E2
369,369,Acute Care Hospitals,E2
370,370,Acute Care Medical Faciltities,E2
371,371,Acute Care Medical Centers,E2
372,372,Cardiac Intensive Care,E2
373,373,Coronary Intensive Care,E2
374,374,Emergency Rooms,E2
375,375,Emergicenters,E2
376,376,General Acute Care Hospitals,E2
377,377,General Hospitals,E2
378,378,General Intensive Care,E2
379,379,High Risk Infant Unit Care,E2
380,380,Hospital Emergency Care,E2
381,381,Hospital-Based Emergency Care,E2
382,382,ICUs,E2
383,383,Inpatient Hospital Care,E2
384,384,Intensive Care,E2
385,385,Medical Centers,E2
386,386,Military Hospitals,E2
387,387,Neonatal Intensive Care,E2
388,388,Neurological Intensive Care,E2
389,389,Osteopathic hospitals,E2
390,390,Pediatric Intensive Care,E2
391,391,Premature Nurseries,E2
392,392,Respiratory Intensive Care,E2
393,393,State Hospitals,E2
394,394,Subacute Care Hospitals,E2
395,395,Surgical Intensive Care,E2
396,396,Trauma Centers,E2
397,397,Veterans Hospitals ,E2
398,398,Cancer Hospitals,E2
399,399,Childrens Hospitals,E2
400,400,Extended Care Hospitals,E2
401,401,Eye Hospitals,E2
402,402,Maternity Hospitals,E2
403,403,Orthopedic Hospitals,E2
404,404,Rehabilitation Hospitals,E2
405,405,Shriners Hospitals,E2
406,406,Specialty Hospitals,E2
407,407,Womens Hospitals,E2
408,408,Acupuncture,E3
409,409,Alternative Health Clinics,E3
410,410,Ambulatory Surgical Centers,E3
411,411,Ambulatory Surgery,E3
412,412,Biofeedback,E3
413,413,Burn Centers,E3
414,414,Burn Institutes,E3
415,415,Chiropractic,E3
416,416,Day Surgery,E3
417,417,Dental Clinics,E3
418,418,Dental Care,E3
419,419,Diagnostic Facilities,E3
420,420,Diagnostic Imaging,E3
421,421,Dialysis Centers,E3
422,422,Eye Screening Clinics,E3
423,423,Foot Clinics,E3
424,424,Herbal Medicine,E3
425,425,Homeopathic Medicine,E3
426,426,Hospital-Based Outpatient Care,E3
427,427,Infant Care Clinics,E3
428,428,Infant Centers,E3
429,429,Medical Testing Laboratories,E3
430,430,Mobile Dental Care,E3
431,431,Naturopathic Medicine,E3
432,432,Neonatal Care Clinics,E3
433,433,Neonatal Centers,E3
434,434,Optometry Clinics,E3
435,435,Outpatient Care,E3
436,436,Outpatient Surgery,E3
437,437,Pain Management,E3
438,438,Podiatry,E3
439,439,Rural Health Care,E3
440,440,Rural Medical Service,E3
441,441,Traditional Healing Arts,E3
442,442,Well Baby Care,E3
443,443,Well Baby Clinics,E3
444,444,Well-Baby Care,E3
445,445,Well-Baby Clinics,E3
446,446,Group Health Practices,E3
447,447,Health Maintenance Organizations,E3
448,448,HMOs,E3
449,449,Managed Care,E3
450,450,Managed Health Care,E3
451,451,Primary Health Care Providers,E3
452,452,Ambulatory Health Centers,E3
453,453,Clinics,E3
454,454,Community Clinics,E3
455,455,Community Health Centers,E3
456,456,Community Health Clinics,E3
457,457,Free Clinics,E3
458,458,Health Centers,E3
459,459,Health Clinics,E3
460,460,Mobile Health Care,E3
461,461,Walk-in Clinics,E3
462,462,Abortion Clinics,E4
463,463,Alternative Birthing Services,E4
464,464,Birth Education,E4
465,465,Birth Orientation,E4
466,466,Birthing Centers,E4
467,467,Childbirth Preparation Centers,E4
468,468,Delivery/Childbirth Services,E4
469,469,Early Pregnancy Classes,E4
470,470,Fertility Treatment Centers,E4
471,471,Genetic Counseling,E4
472,472,Human Sexuality Counseling,E4
473,473,Human Sexuality Education,E4
474,474,Infertility Treatment,E4
475,475,Lamaze,E4
476,476,Maternal and Infant Care,E4
477,477,Maternity Care,E4
478,478,Midwifery,E4
479,479,Natural Childbirth Education,E4
480,480,Neonatal Care,E4
481,481,Newborn Infant Care,E4
482,482,Obstetrics and Gynecology Clinics,E4
483,483,Post Abortion Care,E4
484,484,Postpartum Care,E4
485,485,Pregnancy Termination Clinics,E4
486,486,Prenatal Care Centers,E4
487,487,Prenatal Counseling,E4
488,488,Pro-Choice Counseling,E4
489,489,Pro-Life Counseling,E4
490,490,Right to Life Counseling,E4
491,491,Safe Sex,E4
492,492,Sex Education,E4
493,493,Voluntary Sterilization Centers,E4
494,494,Sterilization,E4
495,495,Womens Health Centers,E4
496,496,Birth Control,E4
497,497,Birth Spacing,E4
498,498,Contraception,E4
499,499,Contraceptives,E4
500,500,Family Planning,E4
501,501,Natural Family Planning,E4
502,502,Planned Parenthood,E4
503,503,Pregnancy Prevention,E4
504,504,Art Therapy,E5
505,505,Audiological evaluations,E5
506,506,Auditory Training,E5
507,507,Corrective Therapy,E5
508,508,Cued Speech Instruction,E5
509,509,Easter Seal Societies,E5
510,510,Equestrian Therapy,E5
511,511,Equine-facilitated Therapy,E5
512,512,Equine Therapy,E5
513,513,Dance Therapy,E5
514,514,Easter Seal Society,E5
515,515,Finger Spelling Instruction,E5
516,516,Hippo Therapy,E5
517,517,Horse Therapy,E5
518,518,Hydrotherapy,E5
519,519,Kinesiology,E5
520,520,Language Therapy,E5
521,521,Music Therapy,E5
522,522,Occupational Therapy,E5
523,523,Oral Communication Instruction,E5
524,524,Pediatric Occupational Therapy,E5
525,525,Physical Therapy,E5
526,526,Sign Language Instruction,E5
527,527,Speech and Hearing Centers,E5
528,528,Speech and Language Evaluations,E5
529,529,Speech Therapy,E5
530,530,Therapeutic Horseback Riding,E5
531,531,Therapeutic Horsemanship,E5
532,532,Therapeutic Riding,E5
533,533,Total Communication Instruction,E5
534,534,Water Therapy,E5
535,535,Cooperative Hospital Services,E6
536,536,Pharmaceutical Services,E6
537,537,Pharmacies,E6
538,538,Pharmacology,E6
539,539,"Shock, Trauma Programs",E6
540,540,Blood Banks,E6
541,541,Blood Donations,E6
542,542,Blood Donor Stations,E6
543,543,Blood Drives,E6
544,544,Blood Supply,E6
545,545,Plasma Supply,E6
546,546,Whole Blood Substitute,E6
547,547,Advanced Life Support,E6
548,548,Ambulance,E6
549,549,Ambulance Transport,E6
550,550,"Basic Life Support,",E6
551,551,Emergency Medical Air Transport,E6
552,552,Emergency Medical Care,E6
553,553,Emergency Medical Services,E6
554,554,Emergency Medical Technicians,E6
555,555,Emergency Medical Transport,E6
556,556,Emergency Medical Vehicle,E6
557,557,EMS,E6
558,558,EMT,E6
559,559,First Aid Squads,E6
560,560,First Responders,E6
561,561,Life Squad,E6
562,562,Lifelines,E6
563,563,Mercy Flights,E6
564,564,Rescue Squads,E6
565,565,Trauma Care,E6
566,566,Trauma Systems,E6
567,567,Anatomical Gifts,E6
568,568,Body Donations,E6
569,569,Bone Banks,E6
570,570,Bone Marrow Donations,E6
571,571,Ear Banks,E6
572,572,Eye Banks,E6
573,573,Organ Banks,E6
574,574,Organ Donations,E6
575,575,Tissue Banks,E6
576,576,Tissue Donations,E6
577,577,Biohazards Research,E7
578,578,Biostatistics,E7
579,579,Centers for Disease Control,E7
580,580,Childhood Immunizations,E7
581,581,Communicable Diseases Control and Prevention,E7
582,582,Community Health Promotion,E7
583,583,Community Wellness,E7
584,584,Disease Outbreaks,E7
585,585,Diseases Control and Prevention,E7
586,586,Employee Health,E7
587,587,Environmental Health Hazards,E7
588,588,Environmental Health,E7
589,589,Environmental Medicine,E7
590,590,Environmental Toxicology,E7
591,591,Epidemiology,E7
592,592,Ergonomics,E7
593,593,Flu Shots,E7
594,594,Foreign Travel Shots,E7
595,595,Health Biostatistics,E7
596,596,Health Fairs,E7
597,597,Health Maintenance,E7
598,598,Health Promotion,E7
599,599,Health Screening,E7
600,600,Immunizations,E7
601,601,Industrial Hygiene,E7
602,602,Industrial Medicine,E7
603,603,Industrial Safety,E7
604,604,Inoculations,E7
605,605,International Health,E7
606,606,International Public Health,E7
607,607,Mass Health Screening,E7
608,608,Medical Biostatistics,E7
609,609,National Health,E7
610,610,National Institutes of Health,E7
611,611,Occupation Health Promotion,E7
612,612,Occupational Health and Safety,E7
613,613,Occupational Safety,E7
614,614,Preventive Health,E7
615,615,Public Health Medicine,E7
616,616,"Sexually Transmitted  Disease Control, Prevention",E7
617,617,Surgeon General,E7
618,618,Vaccinations,E7
619,619,"Venereal Disease Control, Prevention",E7
620,620,Virology,E7
621,621,Wellness,E7
622,622,Worker Health,E7
623,623,Workplace Health Promotion,E7
624,624,Workplace Safety,E7
625,625,Workplace Wellness,E7
626,626,Worksite Wellness,E7
627,627,World Health,E7
628,628,Advance Care Planning,E8
629,629,Advance Directives Planning,E8
630,630,Advance Health Care Planning,E8
631,631,Advance Medical Planning,E8
632,632,Black Lung Benefits Trust,E8
633,633,End of life Care Planning,E8
634,634,End of life Planning,E8
635,635,End-of-life Care Planning,E8
636,636,End-of-life Planning,E8
637,637,AIDS Drug Assistance,E8
638,638,Black Lung Benefit Trusts,E8
639,639,Health Care Cost Containment,E8
640,640,Bioethics,E8
641,641,Health Care Costs,E8
642,642,Health Care Economics,E8
643,643,Health Care Fees & Charges,E8
644,644,Health Care Financing,E8
645,645,Health Insurance,E8
646,646,Health Insurance Counseling,E8
647,647,Health Insurance Premium Assistance,E8
648,648,HMO Financing,E8
649,649,Hospital Bill Assistance,E8
650,650,Medical Bioethics,E8
651,651,Medical Care Costs,E8
652,652,Medical Ethics,E8
653,653,Medical Expense Assistance,E8
654,654,Medical Sociology,E8
655,655,Medicare Counseling,E8
656,656,Medigap Insurance Counseling,E8
657,657,Medication Expense Assistance,E8
658,658,Patient Care Planning,E8
659,659,Patient Services,E8
660,660,Prepaid Health Care,E8
661,661,Prescription Drug Costs,E8
662,662,Prescription Expense Assistance,E8
663,663,Ryan White Consortium,E8
664,664,State-Sponsored High-Risk Health Coverage,E8
665,665,Treatment Costs,E8
666,666,Terminal Care Planning,E8
667,667,Caregiver Support,E8
668,668,Caregiver Training,E8
669,669,Cancer Lodges,E8
670,670,Health Care Counseling,E8
671,671,Health Resocialization,E8
672,672,Hostels,E8
673,673,Hospital Lodges,E8
674,674,Hospitality Houses,E8
675,675,Make-a-Wish,E8
676,676,Medical Apartments,E8
677,677,Medical Treatment Lodges,E8
678,678,Patient Entertainment,E8
679,679,Patient Housing,E8
680,680,Patient/ Family Housing,E8
681,681,Patient/Family Enrichment,E8
682,682,Patient Recreation,E8
683,683,Patient Services Counseling,E8
684,684,Ronald McDonald Houses,E8
685,685,Wish Foundations,E8
686,686,Adult Family Care Homes,E9
687,687,Alzheimers Homes,E9
688,688,Chronic Care Homes,E9
689,689,Convalescent Facilities,E9
690,690,Convalescent Hospitals,E9
691,691,Extended Care Facilities,E9
692,692,Geriatric Centers,E9
693,693,Homes for Aging,E9
694,694,Intermediate Care Facilities,E9
695,695,Long Term Care Facilities,E9
696,696,Long Term Custodial Care,E9
697,697,Long-Term Care Facilities,E9
698,698,Long-Term Custodial Care,E9
699,699,Nursing Care,E9
700,700,Nursing Home Facilities,E9
701,701,Nursing Homes,E9
702,702,Rest Homes,E9
703,703,Skilled Nursing Facilities,E9
704,704,Geriatric Home Nursing,E9
705,705,Home Infusion Therapy,E9
706,706,Home Care Services,E9
707,707,Home Infusion Therapy,E9
708,708,Home Nursing Care,E9
709,709,Medical/Surgical Home Nursing,E9
710,710,Oncology Home Nursing,E9
711,711,Pediatric Home Nursing,E9
712,712,Private Duty Nursing,E9
713,713,Psychiatric Home Nursing,E9
714,714,Registered Home Nursing,E9
715,715,Rehabilitation Home Nursing,E9
716,716,Restorative Home Nursing,E9
717,717,Visiting Doctors,E9
718,718,Visiting Nurses,E9
719,719,Visiting Physicians,E9
720,720,Addiction,F2
721,721,Alcohol Abuse,F2
722,722,Alcoholism,F2
723,723,Chemical Dependency,F2
724,724,Drug Abuse,F2
725,725,Drug Addiction,F2
726,726,Substance Abuse,F2
727,727,Substance Dependence,F2
728,728,Addiction,F2
729,729,Alcohol Abuse Awareness,F2
730,730,Alcohol Abuse Education,F2
731,731,Alcohol Abuse Prevention,F2
732,732,Alcoholism,F2
733,733,Chemical Dependency,F2
734,734,D.A.R.E.,F2
735,735,DARE,F2
736,736,Drug Abuse Awareness,F2
737,737,Drug Abuse Education,F2
738,738,Drug Abuse Prevention,F2
739,739,Drug Abuse Resistance Education,F2
740,740,Drug Addiction,F2
741,741,Substance Abuse Awareness,F2
742,742,Substance Abuse Education,F2
743,743,Substance Abuse Prevention,F2
744,744,Substance Dependence,F2
745,745,AA,F2
746,746,Addiction,F2
747,747,Alanon,F2
748,748,Alateen,F2
749,749,Alcohol Abuse Counseling,F2
750,750,Alcohol Abuse Day Treatment,F2
751,751,Alcohol Abuse Half-Way Houses,F2
752,752,Alcohol Abuse Hotlines,F2
753,753,Alcohol Detoxification,F2
754,754,Alcoholics Anonymous,F2
755,755,Alcoholism Drop-In Services,F2
756,756,Alcoholism Recovery Group Homes,F2
757,757,Alcoholism Recovery Hospitals,F2
758,758,Alcoholism Rehabilitation,F2
759,759,Alcohol-Related Crisis Intervention,F2
760,760,Assessment for Substance Abuse,F2
761,761,Central Intake/Assessment for Alcohol Abuse,F2
762,762,Central Intake/Assessment for Drug Abuse,F2
763,763,Central Intake/Assessment for Substance Abuse,F2
764,764,Chemical Dependency Recovery Hospitals,F2
765,765,Cocaine Anonymous,F2
766,766,Drug Abuse Counseling,F2
767,767,Drug Abuse Day Treatment,F2
768,768,Drug Abuse Drop-In Services,F2
769,769,Drug Abuse Half-Way Houses,F2
770,770,Drug Abuse Hotlines,F2
771,771,Drug Abuse Maintenance Treatment,F2
772,772,Drug Abuse Recovery Group Homes,F2
773,773,Drug Abuse Rehabilitation,F2
774,774,Drug Addiction,F2
775,775,Drug Dependency Recovery Hospitals,F2
776,776,Drug Detoxification,F2
777,777,Drug-Related Crisis Intervention,F2
778,778,Emergency Alcoholism Services,F2
779,779,Emergency Drug Abuse Services,F2
780,780,Heroin Detoxification,F2
781,781,Inpatient Alcoholism Treatment,F2
782,782,Inpatient Drug Abuse Treatment,F2
783,783,Inpatient Substance Abuse Hospitals,F2
784,784,Methadone Detoxification,F2
785,785,Naranon,F2
786,786,Narcotics Anonymous,F2
787,787,Outpatient Alcohol Abuse Treatment,F2
788,788,Outpatient Drug Abuse Treatment,F2
789,789,Outpatient Substance Abuse Treatment,F2
790,790,Relapse Prevention/Transitional Substance Abuse,F2
791,791,Residential Alcoholism Treatment,F2
792,792,Residential Dug Abuse Treatment,F2
793,793,Residential Substance Abuse Treatment,F2
794,794,Sober Living Centers,F2
795,795,Sobering Up Stations,F2
796,796,Substance Abuse Counseling,F2
797,797,Substance Abuse Crisis Intervention,F2
798,798,Substance Abuse Day Treatment,F2
799,799,Substance Abuse Drop-In Services,F2
800,800,Substance Abuse Half-Way Houses,F2
801,801,Substance Abuse Hospitals,F2
802,802,Substance Abuse Hotlines,F2
803,803,Substance Abuse Maintenance Treatment,F2
804,804,Substance Abuse Recovery Group Homes,F2
805,805,Substance Abuse Rehabilitation,F2
806,806,Substance Dependence,F2
807,807,Supportive Recovery Homes,F2
808,808,Transitional Housing for Alcohol Abuse,F2
809,809,Transitional Housing for Drug Abuse,F2
810,810,Transitional Housing for Substance Abuse,F2
811,811,Transitional Residential Alcohol Abuse Services,F2
812,812,Transitional Residential Drug Abuse Services,F2
813,813,Transitional Residential Substance Abuse Services,F2
814,814,Twelve-Step Substance Abuse Mutual Support Groups,F2
815,815,Animal-Assisted Therapy,F3
816,816,Clinical Evaluation,F3
817,817,Early Intervention,F3
818,818,Forensic Psychiatric Evaluations,F3
819,819,Hug-A-Pet Programs,F3
820,820,Mental Health Related,F3
821,821,Mental  Health Twelve Step,F3
822,822,Mental Health Drop-in Centers,F3
823,823,Mental Health Evaluation,F3
824,824,Outpatient Mental Health Facilities,F3
825,825,Pet-Assisted Therapy,F3
826,826,Pet Therapy,F3
827,827,Psychiatric Day Treatment Facilities,F3
828,828,Psychological Testing,F3
829,829,Psychosocial Evaluation,F3
830,830,Hospitals for the Mentally Ill,F3
831,831,Inpatient Mental Health Facilities,F3
832,832,Inpatient Mental Health Treatment,F3
833,833,Psychiatric Hospitals,F3
834,834,State Mental Hospitals,F3
835,835,Community Mental Health Clinics,F3
836,836,Neighborhood Mental Health Centers,F3
837,837,Boys Ranches,F3
838,838,"Group Homes, Housing",F3
839,839,Mental Health Related,F3
