NTEE_CD,text
N30Z,"THE ORGANIZATION TAUGHT THE SPORT OF VOLLEYBALL TO CHILDREN AND ADULTS BY HOLDING CLINICS CONDUCTED BY QUALIFIED INSTRUCTORS IN SCHOOLS, PLAYGROUNDS, AND PARKS. TO FOSTER NATIONAL AND INTERNATIONAL AMATEUR VOLLEYBALL SPORTS COMPETITION."
P280,"EARLY CHILDHOOD EDUCATION - THE JCC EARLY CHILDHOOD CENTER, IN PARTNERSHIP WITH OUR FAMILIES, IS COMMITTED TO PROVIDING QUALITY CARE AND EDUCATION THAT EMBRACES THE DEVELOPMENT OF CHILDREN'S MIND, BODY AND SOUL. WE STIMULATE THE MINDS OF YOUNG CHILDREN THROUGH AN INNOVATIVE AND INDIVIDUALIZED CURRICULUM IMPLEMENTED BY A WELL-TRAINED STAFF IN A SAFE, NURTURING, AND DEVELOPMENTALLY APPROPRIATE ENVIRONMENT. CHILDREN DEVELOP THEIR BODIES AND ARE ENCOURAGED TO ADOPT HEALTHY LIFESTYLE HABITS THROUGH A PHYSICAL EDUCATION PROGRAM THAT UTILIZES THE BEST OF THE JCC'S RESOURCES IN FITNESS, RECREATION, AND AQUATICS. THE SOUL IS NURTURED THROUGH LIVING JEWISH VALUES AND JEWISH EXPERIENCES IN AN ENVIRONMENT THAT APPRECIATES AND RESPECTS THE DIVERSITY OF THE CHILDREN AND THEIR FAMILIES PARTICIPATING IN OUR PROGRAM. IN 2016, THE EARLY CHILDHOOD CENTER SERVED OVER 250 CHILDREN BETWEEN BOTH JCC LOCATIONS. RECOGNIZING THAT NOT ALL FAMILIES CAN AFFORD HIGH QUALITY CARE AND EDUCATION FOR THEIR CHILDREN, THE JCC PROVIDED OVER $293,000 IN FINANCIAL ASSISTANCE TO OUR FAMILIES. BOTH FACILITIES ARE ACCREDITED BY MISSOURI VOLUNTARY ACCREDIATION AND UTILIZE THE PROJECT CONSTRUCT CURRICULUM. TO PROVIDE HEALTH AND WELFARE SERVICES TO THE ST. LOUIS COMMUNITY"
G84,"The organization's program service accomplishments provide specialized services for adults with autism and related disorders. ACHIEVEMENTS UNLIMITED EXISTS TO PROVIDE SPECIALIZED SERVICES FOR ADULTS WITH (CONT. ON SCHED O) AUTISM AND RELATED DISORDERS, TO ENCOURAGE INDEPENDENCE, ENHANCE QUALITY OF LIFE, AND BROADEN THE OPPORTUNITY FOR INCREASED PARTICIPATION IN THE GREATER COMMUNITY."
G84,"THE ORGANIZATION'S PROGRAM SERVICE ACCOMPLISHMENTS PROVIDE SPECIALIZED SERVICES FOR ADULTS WITH AUTISM AND RELATED DISORDERS. ACHIEVEMENTS UNLIMITED EXISTS TO PROVIDE SPECIALIZED SERVICES FOR ADULTS WITH (CONT. ON SCHED O) AUTISM AND RELATED DISORDERS, TO ENCOURAGE INDEPENDENCE, ENHANCE QUALITY OF LIFE, AND BROADEN THE OPPORTUNITY FOR INCREASED PARTICIPATION IN THE GREATER COMMUNITY."
E22Z,"SAINT LUKE'S HOSPITAL OF CHILLICOTHE D/B/A HEDRICK MEDICAL CENTER (""HMC"") IS A LICENSED CRITICAL ACCESS HOSPITAL PROVIDING BOTH INPATIENT AND OUTPATIENT SERVICES. HMC IS LOCATED IN CHILLICOTHE (LIVINGSTON COUNTY), MISSOURI, APPROXIMATELY 90 MILES NORTHEAST OF KANSAS CITY. HEDRICK MEDICAL CENTER IS A FAITH-BASED, NOT-FOR-PROFIT COMMUNITY HOSPITAL COMMITTED TO THE HIGHEST LEVELS OF EXCELLENCE IN PROVIDING HEALTH CARE AND HEALTH RELATED SERVICES IN A CARING ENVIRONMENT. AS A MEMBER OF SAINT LUKE'S HEALTH SYSTEM, HMC IS DEDICATED TO ENHANCING THE PHYSICAL, MENTAL AND SPIRITUAL HEALTH OF THE COMMUNITIES SERVED. THE HOSPITAL PARTICIPATES IN THE MEDICAID AND MEDICARE PROGRAMS AND HAS FINANCIAL ASSISTANCE POLICIES FOR ASSISTING PEOPLE WITHOUT ADEQUATE MEANS TO PAY FOR THEIR CARE. IN ADDITION TO THE ACTIVE MEDICAL STAFF, HMC'S SPECIALTY CLINICS HOST MORE THAN 30 VISITING SPECIALISTS.THE HOSPITAL ALSO PROVIDES HEALTH RELATED ACTIVITIES AND SERVICES IN SUPPORT OF THE COMMUNITY, INCLUDING BUT NOT LIMITED TO SOCIAL WORK SERVICES, SPIRITUAL SERVICES, AND COMMUNITY EDUCATION / HEALTH FAIRS. CRITICAL ACCESS HOSPITAL"
E22Z,"SAINT LUKE'S HOSPITAL OF CHILLICOTHE D/B/A/ HEDRICK MEDICAL CENTER (""HMC"") IS A LICENSED CRITICAL ACCESS HOSPITAL PROVIDING BOTH INPATIENT AND OUTPATIENT SERVICES. HMC IS LOCATED IN CHILLICOTHE (LIVINGSTON COUNTY), MISSOURI, APPROXIMATELY 90 MILES NORTHEAST OF KANSAS CITY. HEDRICK MEDICAL CENTER IS A FAITH-BASED, NOT-FOR-PROFIT COMMUNITY HOSPITAL COMMITTED TO THE HIGHEST LEVELS OF EXCELLENCE IN PROVIDING HEALTH CARE AND HEALTH RELATED SERVICES IN A CARING ENVIRONMENT. AS A MEMBER OF SAINT LUKE'S HEALTH SYSTEM, HMC IS DEDICATED TO ENHANCING THE PHYSICAL, MENTAL AND SPIRITUAL HEALTH OF THE COMMUNITIES SERVED. THE HOSPITAL PARTICIPATES IN THE MEDICAID AND MEDICARE PROGRAMS AND HAS FINANCIAL ASSISTANCE POLICIES FOR ASSISTING PEOPLE WITHOUT ADEQUATE MEANS TO PAY FOR THEIR CARE. IN ADDITION TO THE ACTIVE MEDICAL STAFF, HMC'S SPECIALTY CLINICS HOST MORE THAN 30 VISITING SPECIALISTS. THE HOSPITAL ALSO PROVIDES HEALTH RELATED ACTIVITIES AND SERVICES IN SUPPORT OF THE COMMUNITY, INCLUDING BUT NOT LIMITED TO SOCIAL WORK SERVICES, SPIRITUAL SERVICES, AND COMMUNITY EDUCATION/HEALTH FAIRS. CRITICAL ACCESS HOSPITAL"
P20Z,"PERFORM TESTING FOR HOUSING DISCRIMINATION, PUBLISHED AND DISTRIBUTED FAIR/EQUAL HOUSING BROCHURES. THE METROPOLITAN ST LOUIS EQUAL HOUSING AND OPPORTUNITY COUNCIL (EHOC) SEEKS TO ENSURE EQUAL ACCESS TO HOUSING FOR ALL PEOPLE THROUGH EDUCATION, COUNSELING, INVESTIGATION AND ENFORCEMENT."
P30,"TO PROVIDE SHELTER FOR VICTIMS OF DOMESTIC VIOLENCE AND SEXUAL ASSAULT. THIS CENTER BRINGS VICTIMS OF DOMESTIC VIOLENCE AND SEXUAL ASSAULT TOGETHER TO PROVIDE A SAFE AND NURTURING PLACE TO LEARN AND GROW THROUGH CRISIS AND CASE MANAGEMENT, COURT ADVOCACY, SUPPORT GROUPS AND 24 HOUR CRISIS HOTLINE."
P80,"PROVIDES SUPPORT TO INDIVIDUALS, GENERALLY AGES 50 YEARS AND OLDER, WITH DEVELOPMENTAL DISABILITIES. THE GOAL IS TO ASSIST INDIVIDUALS WITH MAINTAINING THEIR INDEPENDENCE AND SUPPORT THEM IN CONTINUING TO BE ACTIVE MEMBERS OF THEIR COMMUNITIES. SUPPORTS INCLUDE EDUCATION, REFERRAL, TRANSITION PLANNING, RETIREMENT GROUPS, IN-HOME SUPPORT, SOCIAL CLUBS, SUPPORTED LIVING AND GROUP RECREATION PROGRAMS. THE ASSOCIATION ON AGING WITH DEVELOPMENTAL DISABILITIES (AADD) SUPPORTS AND SERVES AGING ADULTS WITH DEVELOPMENTAL DISABILITIES TO PROMOTE THEIR DIGNITY AND INDEPENDENCE."
E220,"Please see Schedule O for a complete description of program service accomplishments. Operates an 89-bed community hospital offering a range of services including emergency care, cardiology services, medical imaging, women and child services and diabetes education."
P43Z,"DIRECT AID WAS PROVIDED TO VICTIMS OF FAMILY VIOLENCE THROUGH SHELTER SERVICES AND COUNSELING; INDIRECT AID WAS PROVIDED TO VICTIMS VIA CRISIS MANAGEMENT AND HOTLINE CALLS. TO PROVIDE SHELTER, ADVOCACY AND EDUCATION TO SURVIVORS OF DOMESTIC VIOLENCE AND PROMOTE THE PRINCIPLE THAT ALL INDIVIDUALS HAVE THE RIGHT TO A LIFE FREE OF ABUSE."
L20Z,"HOME CONSTRUCTION: BUILD AFFORDABLE, ENERGY EFFICIENT HOUSING FOR SALE AT NO PROFIT/NO INTEREST TO LOW INCOME FAMILIES WHO RESIDE IN SUBSTANDARD HOUSING (17 HOMES WERE UNDER CONSTRUCTION DURING THE YEAR); ALSO INCLUDES SITE ACQUISITION FOR HOMES AND THE SUPPORT AND EDUCATION OF HOMEOWNERS TO CONSTRUCT AFFORDABLE, DECENT HOUSING FOR SALE TO LOW-INCOME FAMILIES AT COST AND TO BUILDCOMMUNITIES BY ENCOURAGING EXISTING HOMEOWNERS TO UPGRADE AND IMPROVE THEIR PROPERTY."
L20Z,"HOME CONSTRUCTION: BUILD AFFORDABLE, ENERGY EFFICIENT HOUSING FOR SALE AT NO PROFIT/NO INTEREST TO LOW INCOME FAMILIES WHO RESIDE IN SUBSTANDARD HOUSING (17 HOMES WERE UNDER CONSTRUCTION DURING THE YEAR); ALSO INCLUDES SITE ACQUISITION FOR HOMES AND THE SUPPORT AND EDUCATION OF HOMEOWNERS. TO CONSTRUCT AFFORDABLE, DECENT HOUSING FOR SALE TO LOW-INCOME FAMILIES AT COST AND TO BUILD COMMUNITIES BY ENCOURAGING EXISTING HOMEOWNERS TO UPGRADE AND IMPROVE THEIR PROPERTY."
P80Z,MAINTAINED HOUSING FOR UP TO 16 MENTALLY CHALLENGED AND DEVELOPMENTALLY DISABLED ADULTS AND PROVIDED THEM WITH RESIDENTIAL REHABILITION SERVICES AND OCCASIONALLY PROVIDE RESPITE CARE TO THE OUTSIDE PUBLIC. REHABILITATION FOR MENTALLY HANDICAPPED
X21M,"Strong Tower Ranch has both Day Camps and Horsemanship Camps. Together they served 547 children in 2016. The Day Camps mission is to provide a high quality, Christ-centered day camp experience for children and youth aged 8-14. They strive to have activities that are both entertaining and character building. Activities include but are not limited to swimming, boating, horseback riding, games, creation, singing, Bible lessons, crafts, archery, outdoor cooking, obstacle course, hay rides, hiking and fishing. The Horsemanship Camps give the solid foundation it takes to be a skilled, safe rider, while building a relationship of trust and respect with the horse. Those same attributes are carried over in the daily devotional as they learn more about how they can strengthen their relationship with Jesus. Camp times are 9am-4pm Monday through Thursday and 9am-5pm on Friday. There is a parent program at the horse arena on Fridays 4pm-5pm. To organize, conduct and maintain a ranch for the development of character and to improve the spiritual, mental, vocational, recreational, social and physical condition of boys and girls."
P75,"OPERATION OF A CONTINUING CARE RETIREMENT COMMUNITY THAT OFFERS A CONTINUUM OF CARE THAT INCLUDES 129 INDEPENDENT LIVING APARTMENTS, 34 PATIO HOMES, 53 ASSISTED LIVING UNITS, 14 ASSISTED LIVING MEMORY CARE UNITS AND 70 SKILLED NURSING BEDS, WHICH INCLUDE 12 MEDICAID CERTIFIED BEDS. BENEVOLENT CARE ASSISTANCE IS ALSO PROVIDED, WHICH INCLUDES MEDICAID CONTRACTUAL ALLOWANCES. TOTAL BENEVOLENT CARE ASSISTANCE PROVIDED WAS $750,479, OF WHICH, $750,479 IS OFFSETTING PROGRAM SERVICE REVENUE. FAITH BASED ORGANIZATION WHICH PROVIDES A NETWORK OF SUPPORTIVE SERVICES FOR OLDER ADULTS. SEE BELOW FOR SUMMARY OF LSS CONSOLIDATED OPERATIONS."
N64Z,"LAKE COUNTRY SOCCER HAS GROWN INTO A 55+ ACRE FACILITY WITH 20 OUTDOOR FIELDS (7 OF WHICH ARE LIGHTED) AND AN INDOOR FACILITY (2 FIELDS) SERVING CLOSE TO 2,800 REGISTERED YOUTH PLAYERS AND NEARLY 120,000 FACILITY VISITS ANNUALLY BY PLAYERS, COACHES, AND FANS. LAKE COUNTRY SOCCER IS A DYNAMIC SPORT SPECIFIC DRIVEN ORGANIZATION SERVING ALL OF SOUTHWEST MISSOURI AND HOSTS PROGRAMS, ACTIVITIES, EVENTS, LEAGUES AND TOURNAMENT FROM AGES 3 THROUGH ADULT. LAKE COUNTRY SOCCER HOSTS BOTH INDOOR AND OUTDOOR LEAGUES FOR ADULTS AND YOUTHS, AS WELL AS TOURNAMENTS. LEAGUES RUN THROUGH SPRING, SUMMER, AND FALL AND TOURNAMENTS ARE HELD PERIODICALLY. TO PROMOTE SOCCER IN SOUTHWEST MISSOURI THROUGH INSTRUCTIONAL, RECREATIONAL, COMPETITIVE LEAGUES AND TOURNAMENTS."
P81Z,NUTRITION MEALS-OUTREACH & NUTRITIONAL EDUCATION FOR SENIOR CITIZENS AND IN-HOME SERVICES-DIRECTED TOWARD HOME BOUND SENIOR CITIZENS TO PROVIDE SERVICES FOR THE ELDERLY AND DISABLED.
B90,"COMMUNITY BUILDING: ACTIVITIES RELATED TO BUILDING AN EDUCATION INNOVATION COMMUNITY. THE LEAN LAB IS A KANSAS CITY-BASED COMMUNITY THAT LAUNCHES TRANSFORMATIONAL EDUCATION INNOVATIONS THAT HAVE NATIONAL IMPACT. THE LEAN LAB CATALYZES, SUPPORTS, AND DEVELOPS EDUCATION INNOVATORS WHO BUILD TRANSFORMATIONAL EDUCATION SOLUTIONS IN THE FORM OF TECHNOLOGIES, SERVICES, AND NEW SCHOOL MODELS."
B90,"LEANLAB HOSTS ONGOING COMMUNITY CONVENING EVENTS FOR PARENTS, STUDENTS, EDUCATORS AND INNOVATORS INTERESTED IN INNOVATING TO BETTER PUBLIC SCHOOLS WITHIN THE KANSAS CITY, MISSOURI REGION. THESE EVENTS TAKE THE FORM OF SMALL FOCUS GROUPS, MONTHLY MEETUPS, AND AN ANNUAL LISTENING TOUR WITH THE GOAL OF IDENTIFYING COMMUNITY NEEDS FOR INNOVATION, AND CULTIVATING AN INNOVATION MINDSET WITHIN THE REGIONAL COMMUNITY. THE LEAN LAB IS A KANSAS CITY-BASED COMMUNITY THAT LAUNCHES TRANSFORMATIONAL EDUCATION INNOVATIONS THAT HAVE NATIONAL IMPACT. THE LEAN LAB CATALYZES, SUPPORTS, AND DEVELOPS EDUCATION INNOVATORS WHO BUILD TRANSFORMATIONAL EDUCATION SOLUTIONS IN THE FORM OF TECHNOLOGIES, SERVICES, AND NEW SCHOOL MODELS."
X99,FIRSTLIGHT HOSTS MULTIPLE SUPPORT GROUPS FOR THOSE FACING SEXUAL BROKENNESS. THE MEN'S MINISTRY HOLDS AROUND 10 WEEKLY GROUPS FOR MEN'S SEXUAL RECOVERY. THE WOMEN'S MINISTRY HOSTS ONE WEEKLY SUPPORT GROUP. THE WOMEN'S SEXUAL RECOVERY GROUP HOSTS SIX WEEKLY SUPPORT GROUPS FOR SPOUSES AFFECTED BY SEXUAL ADDICTION. THE SEXUAL MINORITY MINISTRY HOSTS A WEEKLY COMMUNITY SMALL GROUP FOR SEXUAL MINORITIES AND HOSTS A MONTHLY PARENTS GROUP GATHERING THAT SUPPORTS THE FAMILIES OF SEXUAL MINORITIES. THE SHORT-TERM GOAL OF THESE SUPPORT GROUPS IS TO SEEK HEALING FOR THE PARTICIPANTS' IMMEDIATE NEEDS. THE LONG-TERM GOAL OF THESE GROUPS IS TO DISCIPLE THE PARTICIPANTS IN THEIR WALK WITH CHRIST. TO CONDUCT SUPPORT GROUPS FOR MEN AND WOMEN WRESTLING WITH UNWANTED SAME GENDER ATTRACTIONS AND/OR PROBLEMS WITH PORNOGRAPHY OR UNWANTED SEXUAL ATTRACTIONS.
X99,FIRSTLIGHT HOSTS MULTIPLE SUPPORT GROUPS FOR THOSE FACING SEXUAL BROKENNESS. THE MEN'S MINISTRY HOLDS AROUND 10 WEEKLY GROUPS FOR MEN'S SEXUAL RECOVERY. THE WOMEN'S MINISTRY HOSTS ONE WEEKLY SUPPORT GROUP. THE WOMEN'S SEXUAL RECOVERY GROUP HOSTS SIX WEEKLY SUPPORT GROUPS FOR SPOUSES AFFECTED BY SEXUAL ADDICTION. THE SEXUAL MINORITY MINISTRY HOSTS A WEEKLY COMMUNITY SMALL GROUP FOR SEXUAL MINORITIES AND HOSTS A MONTHLY PARENTS GROUP GATHERING THAT SUPPORTS THE FAMILIES OF SEXUAL MINORITIES. THE SHORT-TERM GOAL OF THESE SUPPORT GROUPS IS TO SEEK HEALING FOR THE PARTICIPANTS' IMMEDIATE NEEDS. THE LONG-TERM GOAL OF THESE GROUPS IS TO DISCIPLE THE PARTICIPANTS IN THEIR WALK WITH CHRIST. TO CONDUCT SUPPORT GROUPS FOR MEN AND WOMEN WRESTLING WITH UNWANTED SAME GENDER ATTRACTIONS AND/OR PROBLEMS WITH PORNOGRAPHY OR UNWANTED SEXUAL ATTRACTIONS.
T20,"THE IRVEN E AND NEVADA P LINSCOMB FOUNDATION PROVIDED FINANCIAL SUPPORT TO ORGANIZATIONS SERVING CHILDREN IN CLAY AND PLATTE COUNTIES IN MISSOURI. IN PARTICULAR, THE FOUNDATION PROVIDED SUPPORT TO THE GREATER KANSAS CITY COMMUNITY FOUNDATION FOR ITS SUPPORT OF THE MILES OF SMILES PORTABLE DENTAL PROGRAM THAT PROVIDES CHARITABLE DENTAL CARE, IN A COMMUNITY-BASED SETTING, TO THE NEEDY CHILDREN OF CLAY AND PLATTE COUNTIES. THE MISSION OF THE LINSCOMB FOUNDATION IS TO SUPPORT THE LIVES OF CHILDREN (DEFINED AS AGES BIRTH TO 18) WHO THROUGH NO FAULT OF THEIR OWN CANNOT HELP THEMSELVES."
T20,"THE IRVEN E AND NEVADA P LINSCOMB FOUNDATION PROVIDED FINANCIAL SUPPORT TO ORGANIZATIONS SERVING CHILDREN IN CLAY AND PLATTE COUNTIES IN MISSOURI. IN PARTICULAR, THE FOUNDATION PROVIDED SUPPORT TO THE GREATER KANSAS CITY COMMUNITY FOUNDATION FOR ITS SUPPORT OF THE MILES OF SMILES PORTABLE DENTAL PROGRAM THAT PROVIDES CHARITABLE DENTAL CARE, IN A COMMUNITY-BASED SETTING, TO THE NEEDY CHILDREN OF CLAY AND PLATTE COUNTIES. THE MISSION OF THE LINSCOMB FOUNDATION IS TO SUPPORT THE LIVES OF CHILDREN (DEFINED AS AGES BIRTH TO 18) WHO THROUGH NO FAULT OF THEIR OWN CANNOT HELP THEMSELVES."
X21,SPORTS EXCELLENCE PROCLAIMS THE GOSPEL OF JESUS CHRIST THROUGH ITS PROGRAMS GEARED TO YOUTH AND YOUNG ADULTS. SPORTS EXCELLENCE ORGANIZES EVANGELISTIC OUTREACH TEAMS THAT PARTICIPATE IN REGIONAL AND CITY-WIDE EVENTS THROUGHOUT THE WORLD. TO PROCLAIM THE GOSPEL OF JESUS CHRIST TO YOUTH AND YOUNG ADULTS THROUGH CREATIVE AND CULTURALLY CURRENT MEANS.
I80,"Education for volunteers to assist in representing children of abuse & neglect in court proceedings when children are under the jurisdiction of juvenile court.The volunteers provide investigation, advocacy & monitoring services. The volunteers prevent the children from getting lost in the system by being sensitive to the child's need and presenting those needs to the court. Heart of Missouri CASA is an organization of volunteer advocates who stand up for abused and neglected children in court to help them find a safe and permanent home."
P82,GROWING GREENS TO FULFILL THE DREAMS OF PEOPLE WITH SPECIAL NEEDS GROWING GREENS TO FULFILL THE DREAMS OF PEOPLE WITH SPECIAL NEEDS
P30,"AN AFTER SCHOOL AND SUMMER PROGRAM AIMED AT YOUTH DEVELOPMENT PROJECTS. A COMMUNITY CENTER ESTABLISHED WHERE YOUTH RECEIVE RISK EDUCATION COUNSELING, PREVENTION EDUCATION AND TUTORING. OVER 200 YOUTH INVOLVED. Educational programs aimed at youth development"
L22,"TO PROVIDE LOW INCOME HOUSING FOR THE ELDERLY IN 62 UNITS UNDER THE NATIONAL HOUSING ACT REGULATED BY HUD. THE OCCUPANCY RATE FOR 2016 AND 2015 WAS 98.57% AND 98.49%, RESPECTIVELY. TO PROVIDE LOW INCOME HOUSING FOR THE ELDERLY. SEE SCHEDULE O FOR SUMMARY OF LSS CONSOLIDATED OPERATIONS."
P99,COUNCIL AND CONFERENCE ASSISTANCE - THE SOCIETY PROVIDES ASSISTANCE FOR USE BY OTHER SOCIETY ENTITIES TO PROVIDE DIRECT ASSISTANCE TO THE POOR. TO PROVIDE RELIEF FOR THE POOR AND INTERNATIONAL RELIEF IN EMERGENCIES.
P99,"CONFERENCE AND COUNCIL ASSISTANCEThe National Council of the United States, Society of St. Vincent de Paul, Inc. provides resources to its member local chapters (Conferences/Councils) to help increase their service capacity. The Friends of the Poor Grant Program provides grants to local Conferences to be used for emergency assistance in preventing: eviction, utility shut-offs, providing food and clothing and other basic need services. These grants help extend the outreach of local Conferences by aiding those who would not have been served without this assistance. Systemic Change and Dental Programs provide funds for 40 projects annually with the sole purpose of helping individuals journey out of poverty and into middle class and by providing emergency dental services. Fundraising and grant writing resources are being provided to assist Conferences and Councils develop sound fundraising practices. Communication services from the National Council inform the members of the current events, new training materials and resources. Local press releases are submitted to increase the awareness of the Society and its impact. Membership services provide training and resources to local members to enhance their membership growth and understanding of the operational principles of the Society. Spiritual formation services help Conference and Councils members deepen their understanding of the basic resources of the Society, and how to more fully develop oneself in the likeness of God. International Twinning services provide local Conferences the ability to assist a Conference in a foreign county. THE NATIONAL COUNCIL OF THE UNITED STATES, SOCIETY OF ST. VINCENT DE PAUL SERVES MEMBERS OF ST. VINCENT DE PAUL COUNCILS AND CONFERENCES BY PROVIDING TRAINING, RESOURCES AND SPIRITUAL DIRECTION, SO THAT THEY MAY EFFECTIVELY SERVE NEIGHBORS IN NEED IN THEIR COMMUNITIES."
