,code,description
5bb3ae27da3c38c71367bcd6,C20,"Organizations which seek to ensure that communities have a clean and healthful environment that is free from air and water pollution, pesticides and other hazardous substances, damaging radiation and excessive levels of noise."
5bb3ae27da3c38c71367bcd7,C60,Organizations such as nature centers that provide informal classes which acquaint participants with particular aspects of their environment and increase their understanding of and appreciation for ecological balance.
5bb3ae27da3c38c71367bcd8,D20,"Organizations such as animal shelters that provide for the humane care, protection and control of animals and which investigate instances of cruelty to animals."
5bb3ae27da3c38c71367bcd9,E20,Twenty-four hour medical institutions that provide diagnostic and treatment services for people whose illnesses require an overnight stay. Most hospitals also provide a variety of services on an outpatient basis. 
5bb3ae27da3c38c71367bcda,E21,"Multihospital health care systems that have two or more hospitals owned, leased, sponsored, or managed by a central organization.  Also includes parent companies of diversified single hospital systems that provide comprehensive management and support services for the hospital."
5bb3ae27da3c38c71367bcdb,E22,"Health care facilities that are licensed to operate twenty-four hours per day and offer diagnostic and treatment services as well as emergency and critical care services for people who have illnesses or injuries which require immediate, short-term intervention."
5bb3ae27da3c38c71367bcdc,E24,Health care facilities like orthopedic hospitals or cancer hospitals that provide diagnostic and treatment services on an inpatient basis for people who have specified medical conditions.
5bb3ae28da3c38c71367bcdd,E30,"Health centers, clinics, and other facilities that provide walk-in, walk-out diagnostic and treatment services for people whose care does not require confinement or a hospital stay. "
5bb3ae28da3c38c71367bcde,E31,"Organizations that provide both health care services and underwrite health and medical insurance. Also included are medical groups which provide health care for HMO members on a contract with the HMO and physician practice groups generally associated with teaching, research, and public hospitals."
5bb3ae28da3c38c71367bcdf,E32,"Outpatient facilities, many previously known as free clinics, established by the community rather than a hospital which provide basic medical care including physical examinations, immunizations, family planning, nutrition assistance and diagnosis and treatment of common ailments. Services are available on an ability-to-pay basis and target low-income and indigent community residents."
5bb3ae28da3c38c71367bce0,E40,"Organizations that provide medical, educational and counseling services which relate to the conception, delivery and care of offspring. "
5bb3ae28da3c38c71367bce1,E42,"Organizations that provide assistance for people who want to control the size of their families and the spacing of their children, either through some form of birth control or naturally. "
5bb3ae28da3c38c71367bce2,E50,"Organizations that provide, on an outpatient basis, a combination of treatment and education services to restore maximum functioning, a sense of well-being and a personally satisfying level of independence for individuals who have temporary or permanent disabilities. "
5bb3ae28da3c38c71367bce3,E60,"Organizations that provide equipment, services or other forms of support which are supplemental to the treatment or rehabilitation of people who have illnesses, injuries or disabilities; or which are instrumental in the prevention of illnesses, injuries or disabilities prior to their occurrence. "
5bb3ae28da3c38c71367bce4,E61,"Organizations that acquire, process, type, transport and store whole blood and blood products including red blood cells, white blood cells, platelets and plasma constituents for use by people who need transfusions; and which conduct pretransfusion compatibility tests to ensure that blood transfusions, when necessary, are as safe as possible."
5bb3ae28da3c38c71367bce5,E62,Organizations that provide pre-hospital emergency medical care and rapid transportation to health care facilities.
5bb3ae28da3c38c71367bce6,E65,"Organizations that accept donated hearts, kidneys, livers, skin and other organs and tissue for use in transplant operations."
5bb3ae28da3c38c71367bce7,E70,"Organizations that inform the public of health and safety hazards and measures for furthering the early detection, treatment or rehabilitation of people who have an illness, injury or disability."
5bb3ae28da3c38c71367bce8,E80,Organizations that are concerned primarily with one or more aspects of health financing or that provide services which relate to health care in general.
5bb3ae28da3c38c71367bce9,E86,"Organizations that provide support services to patients and their families.  Programs can include social and recreational activities for people who are recovering from surgery or a serious illnesses; supportive services for children who are ill and for their families which enable family members to remain with a child who is hospitalized; family and sibling support groups, and programs which attempt to make a gravely or terminally ill childs final days, weeks and months more pleasant."
5bb3ae28da3c38c71367bcea,E90,Organizations that provide nursing care on an inpatient or home-care basis for people who need continuous care but are not in an acute phase of their illness. 
5bb3ae28da3c38c71367bceb,E91,"Inpatient facilities, also known as convalescent hospitals and nursing homes, that provide skilled nursing and personal care over an extended period of time for people who are no longer in an acute phase of their illness."
5bb3ae28da3c38c71367bcec,E92,"Visiting nurse associations and other similar organizations that provide skilled nursing care and related health services on a home care basis for recently discharged hospital patients, and elderly or disabled individuals who may otherwise be institutionalized."
5bb3ae28da3c38c71367bced,E99,Organizations that clearly provide medical care services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.
5bb3ae28da3c38c71367bcee,F20,"Organizations that provide preventive, diagnostic and inpatient, outpatient and residential treatment services as well as transitional support for people who have a physical and/or psychological dependency on alcohol and/or drugs. "
5bb3ae28da3c38c71367bcef,F21,Organizations that provide substance abuse education programs for people who are at risk for substance abuse in an effort to prevent their involvement with drugs and/or alcohol.
5bb3ae28da3c38c71367bcf0,F22,"Organizations that provide inpatient, outpatient or residential treatment services for individuals who have a physical and/or psychological dependency on alcohol and/or drugs."
5bb3ae29da3c38c71367bcf1,F30,"Organizations that provide preventive, diagnostic and treatment services in a variety of community and hospital-based settings to help people to achieve and maintain a state of emotional well-being, personal empowerment and the skills to cope with everyday demands without excessive stress. "
5bb3ae29da3c38c71367bcf2,F31,"Organizations that provide diagnostic and inpatient treatment services for individuals who have acute or chronic mental or emotional disturbances, who require hospitalization."
5bb3ae29da3c38c71367bcf3,F32,"Neighborhood-based organizations that offer counseling, medication and other mental health services for people who have acute or chronic mental or emotional disturbances."
5bb3ae29da3c38c71367bcf4,F33,"Organizations that provide a therapeutic living environment in community-based facilities for adults or children with emotional and/or behavioral problems who require a structured, supervised treatment program which may include individual, group, family and other treatment modalities as appropriate."
5bb3ae29da3c38c71367bcf5,F40,"Organizations that provide in-person or telephone assistance for people who are in acute emotional distress; who are a danger to themselves or to others; who are having suicidal feelings; or who are hysterical, frightened or otherwise unable to cope with a problem that requires immediate action. "
5bb3ae29da3c38c71367bcf6,F42,"Organizations that provide telephone crisis intervention services or crisis, short-term and/or ongoing in-person counseling for people who have been sexually assaulted."
5bb3ae29da3c38c71367bcf7,F50,"Organizations that provide counseling, medical treatment (where indicated) and other supportive services for individuals who have a psychological dependency involving a particular pattern of behavior, e.g., spending money, sexual compulsions and workaholic behavior."
5bb3ae29da3c38c71367bcf8,F52,Organizations that utilize a variety of techniques to help people who wish to control their dependence on nicotine and give up substances containing nicotine. Also included are smoking education/prevention programs that help persuade people to avoid the habit before they start.
5bb3ae29da3c38c71367bcf9,F53,"Organizations that provide diagnostic and treatment services for individuals who have anorexia nervosa, bulimarexia, bulimia or a related eating disorder."
5bb3ae29da3c38c71367bcfa,F54,"Organizations that provide emotional support, information and guidance for people who are having difficulty controlling their compulsion to gamble."
5bb3ae29da3c38c71367bcfb,F60,"Organizations that provide treatment services which may include emotional support, problem-solving assistance, information and guidance through a variety of counseling modalities for individuals who are having difficulty in coping with a traumatic experience or a personal relationship or in making the adjustments that are required by their particular stage in life."
5bb3ae29da3c38c71367bcfc,F70,"Organizations that provide preventive, diagnostic and treatment services that focus on a particular mental health disorder."
5bb3ae29da3c38c71367bcfd,F80,Organizations whose purpose is to promote social conditions that enhance the potential in the community for good mental health and to improve methods and facilities for treating mental illness.
5bb3ae29da3c38c71367bcfe,F99,Organizations that clearly provide mental health services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.
5bb3ae29da3c38c71367bcff,G20,Voluntary health organizations active in the prevention or treatment of illnesses or conditions that are hereditary and passed from parent to offspring. 
5bb3ae29da3c38c71367bd00,G25,"Voluntary health organizations active in the prevention or treatment of Down Syndrome, a hereditary condition that results in mental retardation."
5bb3ae29da3c38c71367bd01,G30,"Voluntary health organizations active in the prevention or treatment of cancer. The associated medical specialty is medical oncology, a subspecialty of internal medicine."
5bb3ae29da3c38c71367bd02,G32,Voluntary health organizations active in the prevention or treatment of breast cancer.
5bb3ae29da3c38c71367bd03,G40,Voluntary health organizations active in the prevention or treatment of diseases and conditions that affect specific organs or organ systems in the body. 
5bb3ae2ada3c38c71367bd04,G41,Voluntary health organizations active in the prevention or treatment of blindness and diseases or other conditions that affect the eyes. The associated medical specialty is ophthalmology.
5bb3ae2ada3c38c71367bd05,G43,"Voluntary health organizations active in the prevention or treatment of diseases or conditions, including stroke, that affect the heart, lungs and blood vessels. The related medical specialty is cardiovascular medicine, a subspecialty of internal medicine."
5bb3ae2ada3c38c71367bd06,G44,"Voluntary health organizations active in the prevention or treatment of diseases or conditions that affect the kidneys. The related medical specialty is nephrology, a subspecialty of internal medicine."
5bb3ae2ada3c38c71367bd07,G45,Voluntary health organizations active in the prevention or treatment of diseases or conditions that affect the lungs. The related medical specialty is pulmonary disease specialists.
5bb3ae2ada3c38c71367bd08,G48,Voluntary health organizations active in the prevention or treatment of diseases or conditions including brain injuries that affect the brain.
5bb3ae2ada3c38c71367bd09,G50,"Voluntary health organizations active in the prevention or treatment of diseases or conditions that affect the nerves, muscles or bones. "
5bb3ae2ada3c38c71367bd0a,G51,"Voluntary health organizations active in the prevention or treatment of arthritis (including osteoarthritis and rheumatoid arthritis), an inflammatory condition affecting the joints. The related medical specialty is rheumatology, a subspecialty of internal medicine, though rheumatology is broader and covers more conditions than arthritis."
5bb3ae2ada3c38c71367bd0b,G54,"Voluntary health organizations active in the prevention or treatment of epilepsy, a recurrent paroxysmal disorder of cerebral function that is characterized by sudden brief interruptions in or complete loss of consciousness, motor activity and/or sensory phenomena."
5bb3ae2ada3c38c71367bd0c,G60,Voluntary health organizations active in the prevention or treatment of diseases and conditions that involve hypersensitivity to substances that do not normally cause a reaction.
5bb3ae2ada3c38c71367bd0d,G61,"Voluntary health organizations active in the prevention or treatment of asthma, a disorder of the bronchial system that is characterized by labored breathing and wheezing."
5bb3ae2ada3c38c71367bd0e,G70,"Voluntary health organizations active in the prevention or treatment of diseases and conditions such as abdominal pain, ulcers, diarrhea or jaundice that affect the digestive system including the stomach, bowels, liver, gallbladder and related organs. The related medical specialty is gastroenterology, a subspecialty of internal medicine."
5bb3ae2ada3c38c71367bd0f,G80,Voluntary health organizations active in the prevention or treatment of specifically named diseases and conditions. 
5bb3ae2ada3c38c71367bd10,G81,"Voluntary health organizations active in the prevention or treatment of AIDS, a disease that impairs the functioning of the bodys immune system, leaving affected individuals vulnerable to illnesses that would not otherwise occur."
5bb3ae2ada3c38c71367bd11,G83,"Voluntary health organizations active in the prevention or treatment of Alzheimers disease, a form of presenile dementia which is caused by atrophy of the frontal and occipital lobes of the brain."
5bb3ae2ada3c38c71367bd12,G84,"Voluntary health organizations active in the prevention or treatment of autism, a developmental disability, usually evident by age three, which affects a childs ability to communicate, understand language, play and relate to others."
5bb3ae2ada3c38c71367bd13,G90,"Organizations that represent physicians who have special training and expertise in one clinical area of practice which focuses on a specific age group, an organ system of the body, or on complex scientific techniques developed to diagnose or treat certain types of disorders. "
5bb3ae2bda3c38c71367bd14,G92,"Organizations that represent physicians who have advanced training in the development, implantation and utilization of cardiac pacemakers, cochlear implants and other hearing aids, artificial limbs and joints and other similar devices."
5bb3ae2bda3c38c71367bd15,G94,"Organizations that represent physicians who have advanced training in the medical specialty which provides preventive, diagnostic and treatment services for elderly individuals who have diseases and conditions that are associated with the aging process."
5bb3ae2bda3c38c71367bd16,G96,"Organizations that represent physicians who have advanced training in the medical specialty which provides comprehensive medical management including preventive, diagnostic and treatment services for individuals who have diseases or injuries that affect the central, peripheral or autonomic nervous systems including the brain, cranial nerves, spinal cord, spinal nerves and other related structures."
5bb3ae2bda3c38c71367bd17,G98,"Organizations that represent physicians who have advanced training in the biological, social and environmental factors that have an influence on a developing child and expertise in diagnosing and treating acute and chronic diseases that are common to children and youth."
5bb3ae2bda3c38c71367bd18,G9B,"Organizations that represent physicians who have advanced training in the medical specialty which diagnoses conditions which require surgical intervention and provide preoperative, operative and postoperative care for surgical patients."
5bb3ae2bda3c38c71367bd19,G99,"Organizations that clearly provide services related to diseases, disorders or medical spcialities where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
5bb3ae2bda3c38c71367bd1a,I20,Organizations that provide information and services that help the public protect themselves from crime or which prevent its occurrence. Also included are organizations that provide a mechanism for reporting crimes. 
5bb3ae2bda3c38c71367bd1b,I21,"Organizations that offer a variety of activities for youth who have demonstrated or are at risk for behavior which is likely to be unlawful or to involve them in the juvenile justice system. Also included are community councils, coalitions and other groups whose primary purpose is to prevent delinquency."
5bb3ae2bda3c38c71367bd1c,I30,"Privately operated, community-based nonprofit correctional facilities for adults or juveniles who have been sentenced to imprisonment after conviction for an offense. These facilities serve the same function as government-operated programs, and most operate on a contract with the county or the state."
5bb3ae2cda3c38c71367bd1d,I31,"Community-based residential facilities which allow adult and juvenile offenders with satisfactory behavior to transition back to the community during the last months of their sentences or which provide congregate living arrangements and supportive services for ex-offenders to help them successfully reenter the community and become self-sufficient. These facilities are known as work release centers, prerelease centers, rehabilitation centers and group homes for juvenile offenders or status offenders."
5bb3ae2cda3c38c71367bd1e,I40,"Organizations that provide counseling, job seeking assistance and other nonresidential supportive services that help adult and/or juvenile offenders re-integrate into the community following their release from a correctional facility. "
5bb3ae2cda3c38c71367bd1f,I43,"Organizations that provide emotional support, friendship, advice and guidance or other types of support for inmates while they are incarcerated and/or which facilitate contact between inmates and family members."
5bb3ae2cda3c38c71367bd20,I44,Organizations that provide intensive treatment and rehabilitation services for adult or juvenile offenders. The focus of the service is on rehabilitation of the offender rather than preparation for release into the community.
5bb3ae2cda3c38c71367bd21,I50,"Organizations that are concerned with court administration; court reform including the rights and privileges of prisoners, incarceration alternatives and other criminal justice issues; and alternatives to litigation."
5bb3ae2cda3c38c71367bd22,I51,Organizations that provide mediation services which help individuals who are having a dispute discuss the situation and reach an agreement without resorting to litigation.
5bb3ae2cda3c38c71367bd23,I60,"Law enforcement associations, advisory councils or other nonprofit community groups that provide advice and direction for police departments; auxiliaries or other community-based organizations that collect and disburse money in aid of injured police officers or in support of local law enforcement activities; and other nonprofit groups that have an interest in law enforcement issues."
5bb3ae2cda3c38c71367bd24,I70,"Organizations that attempt to reduce the incidence of child abuse, elder abuse and spouse abuse in family settings through educational interventions which may focus on children of various ages, parents, people who work with families and/or the community at large."
5bb3ae2cda3c38c71367bd25,I71,"Organizations that deal specifically with the prevention of domestic violence through educational interventions which may focus on batterers, people at risk for domestic violence, people who work with battered women and/or the community at large."
5bb3ae2cda3c38c71367bd26,I72,"Organizations that deal specifically with the prevention of child abuse including incest through educational interventions which may focus on children of various ages, parents, people who work with families and/or the community at large."
5bb3ae2cda3c38c71367bd27,I73,Organizations that deal specifically with the prevention of sexual assault (for adults and children).
5bb3ae2cda3c38c71367bd28,I80,Organizations that provide general legal aid regarding criminal and/or civil matters at little or no cost for individuals who are economically disadvantaged.
5bb3ae2cda3c38c71367bd29,I83,Organizations that primarily handle class action litigation and lawsuits related to issues of interest to the public in general rather than assisting individuals.
5bb3ae2cda3c38c71367bd2a,I99,Organizations that clearly provide crime and legal related services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.
5bb3ae2cda3c38c71367bd2b,J20,"Organizations that help people prepare for, find, secure and retain suitable employment. "
5bb3ae2cda3c38c71367bd2c,J21,"Organizations that administer tests which measure the skills, abilities and interests of job seekers and help them make appropriate decisions regarding an occupational field or position."
5bb3ae2cda3c38c71367bd2d,J22,Organizations that train people in the specific skills they will need to obtain employment in a particular industry or which provide work experience for youth or others who have no employment history.
5bb3ae2cda3c38c71367bd2e,J30,"Organizations that provide job training and employment experiences for individuals with disabilities, people who have been disabled by use of drugs or alcohol or people with emotional difficulties, with the objective of helping them to become economically self-sufficient."
5bb3ae2cda3c38c71367bd2f,J32,Goodwill Industries sites.
5bb3ae2cda3c38c71367bd30,J33,"Organizations that provide paid employment opportunities in a controlled, protected environment for people with disabilities who are unable to obtain competitive employment. Also included are work activity centers which provide personal and social development opportunities for participants who have demonstrated inconsequential production capacity."
5bb3ae2cda3c38c71367bd31,K30,"Organizations that provide access to free or low-cost food products to children, seniors, or indigents by distributing groceries, providing meals, providing facilities for storing food or making available land on which people can grow their own produce. "
5bb3ae2dda3c38c71367bd32,K31,"Organizations that gather, store and distribute food to indigents at no charge or at low cost."
5bb3ae2dda3c38c71367bd33,K34,"Organizations (also known as nutrition sites or senior nutrition programs) that provide hot meals on a regular basis, usually for elderly individuals but also for disabled adults or other target populations."
5bb3ae2dda3c38c71367bd34,K35,Organizations that provide meals in a central location for indigent people.
5bb3ae2dda3c38c71367bd35,K36,"Organizations that prepare and deliver regular hot meals to elderly individuals, people with disabilities or people with AIDS or other targeted conditions who are unable to shop and/or prepare food for themselves or to travel to a site where a meal is being served. Also known as home delivered meals."
5bb3ae2dda3c38c71367bd36,K40,"Organizations that provide information concerning the basic principles of healthful eating, food handling, food preparation and shopping skills. Included is information about the basic food groups, vitamin and mineral requirements, and the relationship of nutrition to the preservation of good health and the prevention of illness."
5bb3ae2dda3c38c71367bd37,K50,"Organizations that provide instruction that deals with the basic activities of homemaking including caring for and managing children, shopping for and preparing nutritious meals, maintaining a clean and safe living environment, and other in-home responsibilities."
5bb3ae2dda3c38c71367bd38,L20,"Organizations that build, rehabilitate, manage and/or provide rental housing for low-income individuals and families, older adults and people with disabilities; or which make purchasable housing available to low or moderate income families by offering lower priced housing and/or affordable payment plans, by arranging for interest or mortgage subsidies or by involving eventual owners in the construction process (sweat equity). "
5bb3ae2dda3c38c71367bd39,L21,"Organizations that develop, rehabilitate, manage and/or provide rental housing that is available to people who qualify on the basis of income, age or disability for publicly subsidized housing e.g., HUD housing or housing assistance under Section 8 of the Housing and Urban Development Act."
5bb3ae2dda3c38c71367bd3a,L22,"Residential options exclusively for older adults who want to have a simpler, maintenance-free lifestyle and enjoy the company of peers with common interests, or who require a moderate amount of support in the activities of daily living to maintain independent living."
5bb3ae2dda3c38c71367bd3b,L24,"Organizations that develop, manage and/or provide rental housing with the availability of supportive services for individuals with disabilities."
5bb3ae2dda3c38c71367bd3c,L25,"Organizations that clear slums and renew or rehabilitate old housing and other structures including abandoned buildings in blighted and depressed residential neighborhoods in order to provide a safe, sanitary and pleasant place for people to live."
5bb3ae2dda3c38c71367bd3d,L30,Organizations that assist people to find available purchasable or rental housing which meets their individual needs.
5bb3ae2dda3c38c71367bd3e,L40,"Organizations that provide a temporary place to stay for newcomers, travelers, people who are in crisis, or homeless individuals in the community."
5bb3ae2dda3c38c71367bd3f,L41,Organizations that provide a temporary place to stay for people who have no permanent housing.
5bb3ae2dda3c38c71367bd40,L80,Organizations that provide supportive services which help people obtain and remain in suitable housing. 
5bb3ae2dda3c38c71367bd41,L81,"Organizations that provide assistance for homeowners who need to upgrade their homes to make them attractive, safe, accessible and energy efficient."
5bb3ae2dda3c38c71367bd42,L82,Organizations that provide home purchase or construction loans; finance new living accommodations; or pay current housing and/or utility bills for people who cannot afford to make the payments themselves and who qualify for this service on the basis of need or income.
5bb3ae2dda3c38c71367bd43,M20,"Organizations that work to prevent, predict or control the effects of disasters (e.g. floods, earthquakes, fires, tornadoes), to educate or otherwise prepare individuals to cope with the effects of such disasters or to provide broad-based relief services to victims of such disasters. "
5bb3ae2dda3c38c71367bd44,M23,"Volunteer and other organizations that provide emergency rescue operations and/or lifesaving activities for people who are stranded, lost, accident victims, or exposed to other life-threatening dangers. Included may be organizations that participate in air rescue, mountain rescue, sea rescue, ski rescue, traffic accident rescue and urban search and rescue operations."
5bb3ae2dda3c38c71367bd45,M24,"Organizations that are responsible for the control and extinction of fires; and the inspection of buildings, hillside property and industrial plants to ensure compliance with fire codes."
5bb3ae2eda3c38c71367bd46,N20,"Organizations that operate facilities for cooperative group living experiences in the out-of-doors; and which provide opportunities to learn campcraft, nature lore and conservation, and participate in a wide range of indoor and outdoor recreational, athletic and group social activities including cookouts."
5bb3ae2eda3c38c71367bd47,N30,"Organizations that provide acreage and facilities for a broad range of recreational and fitness activities, sports and games. "
5bb3ae2eda3c38c71367bd48,N31,"Organizations that operate centers which offer, at a single location, a variety of recreational facilities such as athletic fields and courts, a gymnasium, a swimming pool and public lockers. Recreational centers usually offer an organized program of activities for community residents and provide all necessary equipment."
5bb3ae2eda3c38c71367bd49,N32,"Organizations that develop, maintain and make available to the general public recreational areas which are equipped with athletic fields and courts, campgrounds, picnic areas and a variety of recreational trails such as bridle trails, hiking trails, off-the-road vehicle trails and snowmobile trails."
5bb3ae2eda3c38c71367bd4a,O20,"Organizations that provide supervised recreational and social activities for children and youth of all ages and backgrounds, but particularly for disadvantaged youth, through youth-oriented clubs or centers with the objective of building character and developing leadership and social skills among participants. "
5bb3ae2eda3c38c71367bd4b,O21,"Organizations specifically designated as Boys Clubs that provide a wide range of supervised activities and delinquency prevention services for children and youth of all ages and backgrounds, but particularly for disadvantaged youth, with the objective of building character and developing leadership and social skills among participants."
5bb3ae2eda3c38c71367bd4c,O22,"Organizations specifically designated as Girls Clubs that provide a wide range of supervised activities and delinquency prevention services for children and youth of all ages and backgrounds, but particularly for disadvantaged youth, with the objective of building character and developing leadership and social skills among participants."
5bb3ae2eda3c38c71367bd4d,O30,"Programs, also known as adult/child mentoring programs, that provide male or female adult companionship, guidance and/or role models for young men or women. "
5bb3ae2eda3c38c71367bd4e,O31,"Organizations specifically designated as Big Brothers or Big Sisters that provide male or female adult companionship, guidance and/or role models for young men or women."
5bb3ae2eda3c38c71367bd4f,O40,"Programs that provide opportunities for children and youth to develop individual and group initiative and responsibility, self-reliance, courage, personal fitness, discipline and other desirable qualities of character through participation in a wide range of organized recreational, educational and civic activities under the leadership of qualified adult volunteers. "
5bb3ae2eda3c38c71367bd50,O41,Organizations specifically designated as Boy Scouts of America troops and councils.
5bb3ae2eda3c38c71367bd51,O42,Organizations specifically designated as Girl Scouts of the U.S.A. troops and councils.
5bb3ae2eda3c38c71367bd52,O43,Organizations specifically designated as Camp Fire programs.
5bb3ae2eda3c38c71367bd53,O50,"Programs that provide opportunities for children and youth to participate in recreational, cultural, social and civic activities through membership in clubs and other youth groups with a special focus whose purpose is to help youngsters develop their potential and grow into healthy, educated, responsible and productive adults. "
5bb3ae2eda3c38c71367bd54,O51,Organizations like Key Club that provide opportunities for children and youth to make a contribution to their local community through volunteer service projects. The purpose of the organization is to develop leadership skills and good citizenship practices in youngsters who are interested in service to others.
5bb3ae2eda3c38c71367bd55,O52,"Organizations like 4-H Club, and Future Homemakers that emphasize the total development of young people through work on animal, engineering, family/consumer health, resource, plant or social science projects in consultation with their parents and supervising adult volunteers. Members also participate in camping activities, leadership conferences, awards programs and community service activities."
5bb3ae2eda3c38c71367bd56,O53,"Organizations like Junior Achievement that utilize volunteers from the teaching profession, business and industry to provide firsthand information about the business world for children and youth. Some clubs may also initiate small business ventures under the guidance of adult volunteers."
5bb3ae2eda3c38c71367bd57,O54,Organizations like Youth Republic and Girls Nation that provide opportunities for young people to gain a clear understanding of the process of government and to develop an appreciation for their approaching citizenship responsibilities.
5bb3ae2eda3c38c71367bd58,O55,"Organizations like Youth for Christ, Campus Crusade for Christ and Liberal Religious Youth that provide a variety of recreational and social activities for young people with the objective of strengthening their religious values and meeting their spiritual needs as well as supporting their growth and development as individuals."
5bb3ae2eda3c38c71367bd59,O99,Organizations that clearly provide youth development services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.
5bb3ae2fda3c38c71367bd5a,P20,Organizations that provide a broad range of social services for individuals or families. 
5bb3ae2fda3c38c71367bd5b,P21,"Separately incorporated, local chapters of the American Red Cross."
5bb3ae2fda3c38c71367bd5c,P22,"Separately incorporated, local Urban League sites."
5bb3ae2fda3c38c71367bd5d,P24,"Separately incorporated, local Salvation Army sites."
5bb3ae2fda3c38c71367bd5e,P26,"Separately incorporated, local Volunteers of America sites."
5bb3ae2fda3c38c71367bd5f,P27,"Separately incorporated, local YMCA, YWCA, YMHA, YWHA sites."
5bb3ae2fda3c38c71367bd60,P28,"Neighborhood-based multipurpose centers that offer, at a single location, a wide variety of services and activities that are structured to meet the needs of the entire community through different programs for different age and interest groups."
5bb3ae2fda3c38c71367bd61,P29,"Organizations that offer new or second-hand furniture, appliances, clothing, toys and other material goods at lower than retail prices, and which often use the proceeds from sales to support other services to the community. Thrift shops accept direct donations from the public of new and reusable goods."
5bb3ae2fda3c38c71367bd62,P30,"Organizations that provide a wide variety of informational, social and supportive services for children and youth including runaways and other troubled youth. "
5bb3ae2fda3c38c71367bd63,P31,Organizations that arrange permanent homes under new legal parentage for individuals whose birth parents are unable or unwilling to provide for their care.
5bb3ae2fda3c38c71367bd64,P32,"Organizations that provide an alternative family living arrangement in agency-supervised family homes for dependent children who have been removed from their homes because of abuse, neglect or abandonment; or for children or adults with disabilities who are unable to live with their birth families or in an independent setting."
5bb3ae2fda3c38c71367bd65,P33,Organizations that provide substitute parental care for children during some portion of a twenty-four hour day.
